
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1983"	"8.359"	"2.332"	"1.728"	"13.73"	"32.11"	"99.113"	"265.774"	"190.279"	"136.409"	"44.623"	"0.02"	"2.664"
"1984"	"49.119"	"37.973"	"0.165"	"10.304"	"1.007"	"168.36"	"197.453"	"232.753"	"191.538"	"25.307"	"0"	"0.102"
"1985"	"28.864"	"0.629"	"0.016"	"11.024"	"0.954"	"62.579"	"275.649"	"303.784"	"214.893"	"79.205"	"0"	"1.531"
"1986"	"27.281"	"40.923"	"0.458"	"0.862"	"50.065"	"58.791"	"228.761"	"419.444"	"180.733"	"7.028"	"2"	"21.565"
"1987"	"25.257"	"14.365"	"17.376"	"0.209"	"6.387"	"7.96"	"123.329"	"233.784"	"87.436"	"72.14"	"5.686"	"5.371"
"1988"	"15.034"	"4.929"	"25.554"	"0.923"	"9.973"	"172.797"	"248.805"	"293.307"	"96.728"	"12.689"	"0.81"	"20.531"
"1989"	"2.543"	"0.725"	"9.614"	"0.718"	"4.361"	"118.137"	"348.427"	"151.071"	"139.109"	"21.984"	"16.966"	"24.636"
"1990"	"0.232"	"26.323"	"5.481"	"9.571"	"18.648"	"232.898"	"380.143"	"328.828"	"234.397"	"6.96"	"0.067"	"3.287"
"1991"	"15.269"	"12.507"	"12.949"	"8.6"	"8.694"	"102.879"	"118.401"	"102.071"	"128.845"	"0.641"	"0.721"	"32.545"
"1992"	"40.871"	"8.471"	"0.081"	"2.389"	"11.684"	"24.523"	"105.029"	"165.477"	"177.133"	"58.204"	"20.613"	"0"
"1993"	"10.631"	"1.969"	"12.598"	"1.063"	"19.397"	"30.321"	"112.041"	"174.877"	"260.658"	"29.413"	"0.069"	"0"
"1994"	"66.227"	"25.378"	"37.19"	"6.817"	"0.745"	"219.759"	"334.662"	"336.841"	"168.321"	"16.849"	"0.118"	"0"
"1995"	"36.942"	"24.82"	"18.034"	"7.765"	"2.295"	"38.521"	"237.42"	"274.49"	"159.699"	"1.265"	"32.597"	"19.724"
"1996"	"54.441"	"22.269"	"0.378"	"0.965"	"1.11"	"229.482"	"240.708"	"348.774"	"118.2"	"80.013"	"0.558"	"0"
"1997"	"20.378"	"0.267"	"3.024"	"8.617"	"14.326"	"111.086"	"54.197"	"249.944"	"224.21"	"16.966"	"31.086"	"21.397"
"1998"	"3.12"	"3.428"	"18.845"	"6.129"	"32.326"	"107.398"	"326.547"	"424.453"	"181.662"	"18.576"	"8.187"	"0"
"1999"	"56.165"	"44.353"	"0"	"0"	"18.271"	"15.338"	"433.266"	"228.57"	"218.179"	"30.044"	"0"	"1.048"
"2000"	"11.864"	"10.924"	"0.109"	"1.189"	"10.376"	"104.691"	"231.486"	"167.39"	"305.58"	"0.355"	"0"	"0"
"2001"	"4.236"	"2.321"	"14.385"	"6.396"	"5.885"	"120.16"	"222.453"	"245.207"	"107.622"	"63.052"	"10.414"	"0.047"
"2002"	"36.42"	"19.284"	"1.501"	"0.713"	"1.283"	"38.799"	"111.031"	"294.034"	"169.617"	"72.55"	"17.46"	"4.179"
